Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2008,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,PL,KZ,,,1,live,,Z,W
2008,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,US,KZ,,,1200,feathers,,S,W
2008,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,13,15,live,,N,W
2008,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IE,NO,,20,20,live,,N,W
2008,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,RU,,2,,skins,,S,W
2008,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,RU,,2,4,specimens,,S,W
2008,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,KZ,,,4150,feathers,,S,W
2008,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,US,CA,IN,1,,skulls,,S,W
2008,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,IT,AR,,5735,62,specimens,,S,W
2008,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,85,specimens,,S,W
2008,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,165,specimens,,S,W
2008,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,,66,specimens,,S,W
2008,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,1,bones,,P,W
2008,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,GL,,,66,specimens,,S,W
2008,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,4,,specimens,,S,W
2008,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CH,XX,,1,carvings,,E,U
2008,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CH,XX,1,,skin pieces,,E,U
2008,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,RU,,,11,specimens,,S,W
2008,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,CA,US,1,,bones,,H,W
2008,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,CA,,1,,baleen,,P,W
2008,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,DE,NZ,,1,1,bones,,E,W
2008,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,0.101,,skin pieces,kg,S,W
2008,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,DE,NZ,,1,bones,,E,W
2008,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,AR,,,262,specimens,,S,W
2008,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,AU,,1,,bones,,S,W
2008,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,NZ,,6,,bone pieces,,E,U
2008,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,64,,derivatives,,S,W
2008,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,3,specimens,,S,W
2008,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,0.008,,skin pieces,kg,S,W
