Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2003,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,AT,HU,,,1,live,,B,W
2003,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,GB,AE,,1,,bodies,,S,W
2003,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,HU,BG,,,3,feathers,,S,W
2003,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,US,KZ,,682,700,feathers,,S,W
2003,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,US,KZ,,34,70,specimens,,S,W
2003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,PL,,1,1,bodies,,E,W
2003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,GL,,10,10,feathers,,S,W
2003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,,1,bodies,,P,W
2003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,,0.2,specimens,kg,S,W
2003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,PL,BE,PL,1,,bodies,,E,W
2003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,IS,,69,80,specimens,,S,W
2003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,JP,,13,13,specimens,,S,W
2003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,KZ,,350,350,feathers,,S,W
2003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,KZ,,14,40,specimens,,S,W
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,CA,US,CA,,3,feathers,,P,U
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,CA,US,CA,,6,feathers,,P,W
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,FR,US,XX,,3,garments,,P,U
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,US,15,,feathers,,P,W
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,2,,bone carvings,,P,W
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,,bones,,P,W
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,,claws,,P,W
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,2,,feathers,,H,W
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,3,,feathers,,P,U
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,591,,feathers,,P,W
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,2,,unspecified,,P,W
2003,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,MX,US,1,,claws,,P,W
2003,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,ES,BR,US,,3,skulls,,E,W
2003,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,ES,BR,,,3,skulls,,E,W
2003,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,ES,PE,,,15,skulls,,Q,W
2003,I,Antilocapra americana mexicana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,US,MX,,1,,skulls,,P,W
2003,I,Antilocapra americana sonoriensis,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,US,AR,,3,,specimens,,S,W
2003,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,GB,CL,,,4,timber pieces,,S,W
2003,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,US,CL,,5,,seeds,kg,S,W
2003,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,PA,MX,,,50,specimens,,S,W
2003,I,Ateles geoffroyi frontatus,Mammalia,Primates,Atelidae,Ateles,US,GB,XX,,1,bodies,,P,U
2003,I,Ateles geoffroyi ornatus,Mammalia,Primates,Atelidae,Ateles,US,CR,,,100,specimens,,S,W
2003,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,11,11,specimens,,S,W
2003,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,CA,,3,unspecified,,E,W
2003,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,159,224,specimens,,S,W
2003,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DE,RU,XX,,1,bones,,Q,W
2003,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DE,RU,XX,,1,specimens,,E,W
2003,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1.5,,bones,kg,P,W
2003,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,2,bones,,P,W
2003,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,GB,,1,,bones,,P,W
2003,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,0.004,,skin pieces,kg,S,W
2003,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,AR,,,1,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,CA,6,,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,47,39,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,US,,,4,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,28,,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CR,,,5,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,EC,,,5,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,GT,,,5,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,MX,,,5,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,PF,,,5,specimens,cm2,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,SV,,,5,specimens,,S,W
2003,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,ZA,NA,,,1,bones,,P,W
2003,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,0.002,,skin pieces,kg,S,W
2003,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NI,,,50,specimens,,S,W
2003,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,OM,,1,,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,NO,,,6,specimens,kg,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,IS,,,5,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,NO,,6,,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,,2,bones,,Q,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,2,,bones,,T,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,15,,carvings,,T,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,209.3,,meat,kg,P,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,NO,,,30,specimens,kg,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,10600,meat,kg,T,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,NO,,,9,specimens,kg,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,1,1,specimens,kg,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,83,,bodies,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,,5,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,IS,,,5,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AQ,,1,,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CR,,,10,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,EC,,,10,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,GT,,,10,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,XX,3,,meat,,P,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MX,,,15,specimens,,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,,0.5,specimens,kg,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,PF,,,10,specimens,cm2,S,W
2003,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,SV,,,5,specimens,,S,W
2003,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,440,,bodies,,S,W
2003,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,50,,bodies,,S,W
2003,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,0.002,,skin pieces,kg,S,W
2003,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CR,,,10,specimens,,S,W
2003,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,EC,,,10,specimens,,S,W
2003,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,GT,,,10,specimens,,S,W
2003,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MX,,,15,specimens,,S,W
2003,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,PF,,,10,specimens,cm2,S,W
2003,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,SV,,,5,specimens,,S,W
2003,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,48,,bodies,,S,W
2003,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,0.016,,skin pieces,kg,S,W
2003,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CR,,,10,specimens,,S,W
2003,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,EC,,,10,specimens,,S,W
2003,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,GT,,1,10,specimens,,S,W
2003,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,360,,meat,g,P,W
2003,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MX,,8,25,specimens,,S,W
2003,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,PF,,,10,specimens,cm2,S,W
2003,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,SV,,,10,specimens,,S,W
