Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2007,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,PL,KZ,,1,,live,,Z,W
2007,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,US,KZ,,1874,6250,feathers,,S,W
2007,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,15,15,live,,N,W
2007,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,US,RU,1,1,live,,E,W
2007,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IE,NO,,15,15,live,,N,W
2007,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,KZ,,971,4150,feathers,,S,W
2007,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,CA,US,PA,,1,specimens,,S,W
2007,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,XX,PA,,,5,live,,S,W
2007,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CA,US,,,3,specimens,,S,W
2007,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,JM,BZ,,,1,skulls,,S,W
2007,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,1,carvings,,P,W
2007,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,,1,carvings,,T,W
2007,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,US,XX,,1,specimens,,E,U
2007,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,,baleen,,P,W
2007,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,GL,,156,,specimens,,S,W
2007,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,MX,,1,,bones,,P,W
2007,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,TO,,5,,carvings,,P,W
2007,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,CA,US,1,,baleen,,H,W
2007,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,CA,US,1,,baleen,,P,W
2007,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,ZA,,,1,teeth,,P,W
2007,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,ZA,,,1,bones,,P,W
2007,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,ZA,,,1,bones,,P,W
2007,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,AR,,12,135,specimens,,S,W
2007,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,18,specimens,,S,W
2007,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,GB,XX,,400,specimens,,S,U
2007,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,NL,NO,3,,specimens,,S,W
2007,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NZ,MY,,,10,specimens,g,S,W
2007,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,US,1,,baleen,,H,W
2007,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,US,2,,unspecified,,P,W
2007,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MX,,10,,derivatives,,P,W
2007,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,IS,,,135,specimens,,S,W
2007,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,NO,,554,554,specimens,,S,W
2007,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,21,,bodies,,S,W
2007,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NZ,NC,,1,1,specimens,,S,W
2007,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,1,,specimens,ml,S,W
2007,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,505,,bodies,,S,W
2007,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,98,,bodies,,S,W
2007,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AR,,,7,specimens,,S,W
2007,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,TH,,4,4,bones,,S,W
2007,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,TH,,13,13,specimens,,S,W
2007,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,46,,bodies,,S,W
2007,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,US,AU,,83,specimens,,S,W
2007,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,MX,,,50,specimens,,S,W
2007,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,0.607,,skin pieces,kg,S,W
2007,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AQ,JP,36,,skin pieces,,S,W
2007,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,,0.007,specimens,kg,S,W
2007,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,1,,baleen,,P,W
2007,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,3,,bodies,,S,W
2007,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,0.100,,skin pieces,kg,S,W
2007,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,,48,meat,,S,W
2007,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,0.2,,specimens,kg,S,W
2007,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,PL,IS,,,1,baleen,,S,W
2007,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,US,,37,37,specimens,,S,W
2007,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MX,,125,,specimens,,S,W
2007,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,US,,,22,specimens,,S,W
2007,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,JP,NZ,,,1,bones,,Q,W
2007,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,JP,ZZ,,0.498,,skin pieces,kg,S,W
2007,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,CK,,25,,specimens,,S,W
2007,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,NC,,145,145,specimens,,S,W
2007,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,PL,IS,,,1,baleen,,S,W
2007,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,SE,US,CA,24,24,specimens,,S,W
2007,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,SE,US,,168,168,specimens,,S,W
