Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2001,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,US,KZ,,100,57,specimens,,S,W
2001,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,AT,KZ,,,1,live,,P,W
2001,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GL,DK,GL,,12,bodies,,S,W
2001,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,KZ,,,89,feathers,,S,W
2001,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,KZ,,46,,specimens,,S,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,CA,US,,,6,feathers,,P,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,CL,CA,,,3290,specimens,ml,S,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,CA,,1,,feathers,,P,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,US,,,30,feathers,,P,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,RU,CA,,1,1,live,,Z,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,SG,CA,,1,,live,,Z,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,US,33,,feathers,,P,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,188,,claws,,L,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,,feathers,,H,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,167,,feathers,,P,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,,feathers,,T,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,47,,unspecified,,L,W
2001,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,,unspecified,,P,W
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,PT,BR,1,1,feathers,,E,W
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,GB,BR,,,1,feathers,,E,W
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,PA,US,EC,,1,live,,S,W
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,PA,US,EC,1,,live,,S,
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,PA,US,PA,,1,live,,S,W
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,PA,US,PA,1,,live,,S,
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,PA,US,VE,,1,live,,S,W
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,PA,US,VE,1,,live,,S,
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,PA,US,XX,,1,live,,S,W
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,PA,US,,3,,live,,S,
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,PT,BR,,1,,feathers,,E,W
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,US,BR,XX,1,,feathers,,E,W
2001,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,US,BR,,,2,feathers,,E,W
2001,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HU,FR,,200,,derivatives,,S,W
2001,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HU,FR,,500,,derivatives,,T,W
2001,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HU,FR,,,200,specimens,ml,L,W
2001,I,Branta canadensis leucopareia,Aves,Anseriformes,Anatidae,Branta,RU,US,,20,,live,,B,W
2001,I,Branta canadensis leucopareia,Aves,Anseriformes,Anatidae,Branta,RU,US,,,18,live,,S,W
2001,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,ES,CL,,,80,seeds,kg,S,W
2001,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,FR,CL,,4,,live,,G,W
2001,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,FR,CL,,,4,live,,S,W
2001,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,FR,CL,,50,,seeds,g,G,W
2001,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,FR,CL,,,50,seeds,g,S,W
2001,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,PA,MX,PA,13,,specimens,,S,
2001,I,Ateles geoffroyi ornatus,Mammalia,Primates,Atelidae,Ateles,PA,US,PA,20,,specimens,kg,S,
2001,I,Brachyteles arachnoides,Mammalia,Primates,Atelidae,Brachyteles,US,BR,,1,,specimens,,S,W
2001,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,125,,specimens,ml,S,W
2001,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,25,32,specimens,,S,W
