Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2010,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,RS,,,1,feathers,,S,W
2010,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,GL,,8,8,feathers,,P,W
2010,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,19,19,live,,N,W
2010,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IE,NO,,22,22,live,,N,W
2010,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IL,NL,PL,,1,live,,Z,W
2010,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,RU,,11,,specimens,,S,W
2010,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,US,PH,,,58,specimens,,S,W
2010,I,Acropora fenneri,Anthozoa,Scleractinia,Acroporidae,Acropora,SG,MY,,,30,live,,T,W
2010,I,Caiman crocodilus apaporiensis,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,CO,,1,specimens,,S,W
2010,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,BO,,3,specimens,,S,W
2010,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,BR,,8,specimens,,S,W
2010,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,PY,,2,specimens,,S,W
2010,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,CA,MX,,,15,specimens,,S,W
2010,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,400,400,specimens,,S,W
2010,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,CA,BZ,,,28,specimens,,S,W
2010,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,MX,GT,,61,,specimens,,S,W
2010,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,CA,BZ,,,350,specimens,,S,W
2010,I,Brachyteles hypoxanthus,Mammalia,Primates,Atelidae,Brachyteles,US,BR,,,150,derivatives,,S,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,FR,CA,4,,bones,,Q,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,FR,CA,,4,carvings,,Q,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,FR,CA,100,,carvings,kg,Q,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,FR,CA,,4,carvings,,Q,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1.9,14.26,baleen,kg,P,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,15,13,baleen,,P,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,3,carvings,,P,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,51,51,specimens,,S,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,FR,CA,,4,4,carvings,,Q,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,CA,,,1,carvings,,T,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GL,US,,,2,baleen,,E,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GL,US,,,9,baleen,,Q,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GL,US,,,3,bone carvings,,E,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GL,US,,,5,bone carvings,,Q,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,GL,,,100,specimens,,S,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,45,,meat,kg,P,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,,10,specimens,g,S,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,1,,specimens,,S,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,GB,XX,,3,carvings,,T,U
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,GL,US,1,,baleen,,P,W
2010,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,GL,US,3,,bone carvings,,P,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,AR,US,AR,,409,specimens,,S,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,AU,ZA,,,1,baleen,,E,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,XX,,2,bone carvings,,S,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,AU,NZ,,1,specimens,,Q,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,AU,,1,,specimens,,S,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,ZA,,4,,bone pieces,,P,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,AR,,,3661,specimens,ml,S,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,AR,,309,624,specimens,,S,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,JP,XX,,9.9,specimens,g,S,W
2010,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,JP,,26,,specimens,,S,W
2010,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,76,skin pieces,,S,W
2010,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,US,3,,baleen,,P,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,CN,,13,,bodies,,Q,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,CN,,,3,bones,,E,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,CN,,,1,fins,,E,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,CN,,,9,specimens,,E,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,ZA,,,1,baleen,,E,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,DK,GL,,1,carvings,,P,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,IS,,,2,bones,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,IS,,,8,specimens,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,,20,specimens,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,1000,meat,kg,T,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IE,CA,,2,,baleen,,,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,,100,specimens,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,14,,bodies,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,PT,US,,30,,specimens,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,CA,,,36,specimens,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,IS,,3,,specimens,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,,10,specimens,g,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,1,25,specimens,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,SE,,1,,specimens,,S,W
2010,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,1.16,specimens,kg,S,W
2010,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,170,,bodies,,S,W
2010,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,100,,skin pieces,g,S,W
2010,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,FK,,,4,specimens,,S,W
2010,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,200,specimens,g,S,W
2010,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,CN,,1,,bodies,,S,W
2010,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IE,CA,,1,,baleen,,,W
2010,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,98,,bodies,,S,W
2010,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,100,,skin pieces,g,S,W
2010,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,,25,specimens,,S,W
2010,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,XX,,1,skulls,,S,W
2010,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,,60,specimens,,S,W
2010,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,49,,bodies,,S,W
2010,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,40,,skin pieces,g,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,JP,,101,,specimens,,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,US,JP,,101,specimens,,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,US,ZA,,50,specimens,,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,ZA,,50,,specimens,,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,XX,,1,bone carvings,,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IE,CA,,1,,baleen,,,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,5,,skin pieces,g,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,CA,,,17,specimens,,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,6,,specimens,,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,SE,,1,,specimens,,S,W
2010,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,189,specimens,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,NZ,,,2,skin pieces,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,IS,,,20,baleen,kg,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,IS,,,15,specimens,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,XX,,2,bones,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,,1,baleen,kg,P,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,1,,baleen,,P,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,1,2,carvings,,P,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FI,IS,,,40,bones,kg,Q,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,IS,,,0.003,specimens,m3,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,IS,,,50,specimens,g,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IE,CA,,1,,baleen,,,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IE,IS,,,20,specimens,g,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IE,IS,,4,,specimens,,S,
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,IS,,725,725000,meat,kg,T,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,2,,bodies,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,10,,skin pieces,g,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,,20.79,specimens,kg,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NZ,NZ,,2,,skin pieces,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,CA,,,50,specimens,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,IS,,,80,specimens,ml,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,IS,,4,,specimens,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,,10,specimens,g,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,34,,specimens,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,30,,skins,,S,W
2010,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,SE,,7,,specimens,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,CL,,100,,specimens,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,FR,,,1,specimens,g,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,NC,,1,,specimens,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,NZ,,,121,skin pieces,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,NZ,,64,,specimens,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,ZA,,,1,baleen,,E,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,US,,10,,specimens,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,IE,AU,,400,,specimens,mg,S,
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,IE,CA,,2,,baleen,,,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,FR,,233,,baleen,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,FR,,,21,skin pieces,g,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,FR,,233,,skin pieces,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,FR,,,233,specimens,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,NZ,,103,,skin pieces,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,SE,CA,,,46,specimens,,S,W
2010,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,SE,GL,,,25,specimens,,S,W
