Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2002,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,AT,HU,,,1,live,,B,W
2002,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,ES,HU,,,100,feathers,,S,W
2002,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,GB,NZ,,,1,specimens,,,
2002,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,HU,AT,GR,2,,live,,B,W
2002,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,HU,BG,,50,50,feathers,,S,W
2002,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,AT,PL,,,1,bodies,,E,W
2002,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,PL,,,1,bodies,,E,W
2002,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,PL,,1,,bodies,,Q,W
2002,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,ES,PL,,,1,bodies,,E,W
2002,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,PL,,1,1,live,,Z,W
2002,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,MT,GB,XX,2,2,bodies,,P,U
2002,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,PL,AT,PL,1,,bodies,,E,W
2002,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,PL,DK,PL,1,1,bodies,,E,W
2002,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,PL,ES,PL,1,1,bodies,,E,W
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,CA,US,,,56,feathers,,P,U
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,CA,US,,,4,feathers,,P,W
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,CA,,1,1,live,,S,W
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,SG,CA,,1,1,live,,Z,W
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,US,36,,feathers,,P,W
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,2,,bone carvings,,P,W
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,,bones,,P,W
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,,claws,,P,W
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,,feathers,,H,W
2002,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,199,,feathers,,P,W
2002,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,AU,US,PH,,1,skeletons,,S,W
2002,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,MY,CN,,4,4,live,,Z,W
2002,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,CL,PE,,,15,skulls,,Q,W
2002,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,FR,PE,,,15,skulls,,Q,W
2002,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,ZA,US,,1,,trophies,,H,W
2002,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,ES,CL,,,100,seeds,kg,S,W
2002,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,US,CL,,,5,seeds,kg,S,W
2002,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,,20,skin pieces,,S,W
2002,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,40,,specimens,,S,W
2002,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,38,,specimens,,S,W
2002,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,US,,2,2,bones,,E,W
2002,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GL,DK,GL,,1,bones,,P,W
2002,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,,2,bones,,S,W
2002,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,2,,bone pieces,ml,S,W
2002,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,28,,skin pieces,,S,W
2002,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,,28,specimens,,S,W
2002,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,FJ,,8,,teeth,,P,W
2002,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,TO,,2,,bones,,P,W
2002,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,TO,,1,,teeth,,P,W
2002,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,0.032,,skin pieces,kg,S,W
2002,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,216,58,specimens,,S,W
2002,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,10,10,specimens,,S,W
2002,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,ES,,1,1,bone pieces,kg,S,W
2002,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,NO,,1,,bone pieces,,S,W
2002,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,NO,,1,,skin pieces,,S,W
2002,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,NO,,650,,meat,,S,W
