Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2006,I,Aquila spp.,Aves,Falconiformes,Accipitridae,Aquila,ZA,NZ,ZA,,3,specimens,,P,W
2006,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,US,GE,,,50,feathers,,S,W
2006,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,US,KZ,,6886,6886,feathers,,S,W
2006,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CS,HR,,,1,live,,B,W
2006,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,KZ,,471,471,feathers,,S,W
2006,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,US,MX,,4,,live,,,W
2006,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,3,specimens,,S,W
2006,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,AU,US,,0.84,,specimens,m2,S,W
2006,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,30,30,specimens,,S,W
2006,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,IS,CA,19,,carvings,,Q,W
2006,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,50,specimens,,S,W
2006,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,1,baleen,,P,W
2006,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,3,baleen,,S,W
2006,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,8,4,carvings,,P,W
2006,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,120,specimens,,S,W
