Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2011,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,16,16,live,,N,W
2011,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IE,NO,,25,25,live,,N,W
2011,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IL,PL,,,1,live,,Z,W
2011,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IL,PL,,,0.5,specimens,ml,M,W
2011,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BE,BR,,,2,carvings,,E,W
2011,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BE,BR,,1,,feathers,,E,W
2011,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,VE,EC,,,1,bones,,S,W
2011,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,VE,EC,,,4,specimens,,S,W
2011,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,US,PH,,,5,feathers,,S,W
2011,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,US,PH,,,61,specimens,,S,W
2011,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,ES,CL,,237,,sawn wood,,S,W
2011,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,MX,,,712,specimens,,S,W
2011,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,412,specimens,,S,W
2011,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,PE,,,1,specimens,,S,W
2011,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,20,specimens,,S,W
2011,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,23,,baleen,,P,W
2011,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,4,,baleen,,S,W
2011,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,7,,carvings,,P,W
2011,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,,specimens,,S,W
2011,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,DK,GL,,1,baleen,,S,W
2011,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,RU,,17,,specimens,,S,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,AU,NZ,,1,1,bones,,Q,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,AU,US,XX,,1,specimens,,S,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,DE,NZ,,1,,bones,,E,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,DE,NZ,,,1,bones,,Q,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,10,,skin pieces,g,S,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,AU,,1,,bones,,Q,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,DE,NZ,,1,bones,,E,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,DE,XX,1,,bones,,E,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,NZ,DE,XX,1,,bones,,Q,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,AR,,1093,1093,specimens,,S,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,AU,,782,,specimens,,S,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,XX,2,,carvings,,S,W
2011,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,ZA,NA,,2,,specimens,,S,W
2011,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,70,,skin pieces,g,S,W
2011,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SE,AW,,,9,specimens,,S,W
2011,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,US,XX,,1,specimens,,S,W
2011,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CN,AU,CN,13,,specimens,,E,W
2011,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,468,meat,kg,T,W
2011,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,FO,,30,,meat,kg,T,W
2011,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,JP,,692.2,,meat,kg,T,W
2011,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,ZA,,6,,specimens,,S,W
2011,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,49,,bodies,,S,W
2011,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,CA,,,58,specimens,,S,U
2011,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,266,,bodies,,S,W
2011,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CL,,,4,specimens,kg,S,W
2011,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,4,specimens,kg,S,W
2011,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,95,,bodies,,S,W
2011,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,155,,skin pieces,g,S,W
2011,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,50,,bodies,,S,W
2011,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,5,,skin pieces,g,S,W
2011,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,XX,1,,skulls,,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,US,AQ,,5,specimens,,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,US,GB,5,,specimens,,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,US,JP,72,72,specimens,,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,US,ZA,75,75,specimens,,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,NZ,,,3,specimens,g,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,CL,,27,,specimens,,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,40,,skin pieces,g,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,CA,,,4,specimens,,S,U
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,XX,1,,carvings,,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,27,skin pieces,,S,W
2011,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,13,specimens,,S,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,US,XX,,1,specimens,,S,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,2,,baleen,,P,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,1,,carvings,,P,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,DE,,0.1,,specimens,kg,S,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,JP,,1235.081,,meat,kg,T,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,IS,,1085.081,,meat,kg,T,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,1,,bodies,,S,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,70,,skin pieces,g,S,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,CA,,,41,specimens,,S,U
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,BS,,2,4,specimens,,S,W
2011,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,XX,2,,bones,,S,W
2011,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,CA,US,1,,baleen,,H,W
2011,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,CA,US,5,,baleen,,P,W
2011,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,SV,,1,,specimens,g,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DE,NZ,,1,,bones,,E,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,3,,baleen,,E,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,4,,baleen,,P,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,2,,bones,,P,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,0.2,,meat,kg,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,1,,meat,,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,4,,specimens,,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,GB,CA,,,10,specimens,,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,IE,CV,,,0.30,specimens,kg,S,
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,IE,CV,,30,,specimens,,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,IS,DE,,450,,bones,kg,E,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,JP,ZZ,,25,,skin pieces,g,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NL,CA,,,29,specimens,,S,U
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,CK,,32,,specimens,,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,DE,NZ,,1,bones,,E,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,DE,,1,,bones,,E,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,FR,,122,,specimens,,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NZ,NC,,21,,specimens,g,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,BS,,2,5,specimens,,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,CL,,,4,specimens,kg,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,RU,,,12,specimens,,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,XX,CL,,,4,specimens,kg,S,W
2011,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,ZA,NA,,2,,specimens,,S,W
2011,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,NL,NE,,,1,horns,,S,W
2011,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,SE,US,IN,,7,specimens,,S,W
2011,I,Bos sauveli,Mammalia,Artiodactyla,Bovidae,Bos,SE,US,KH,,2,specimens,,S,W
2011,I,Bubalus mindorensis,Mammalia,Artiodactyla,Bovidae,Bubalus,GB,US,PH,,8,specimens,,S,W
2011,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AR,PK,,,1,trophies,,H,W
2011,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,PK,,1,,skins,,H,W
2011,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,PK,,1,,skulls,,H,W
2011,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,PK,,,1,trophies,,H,W
2011,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DK,PK,,1,1,trophies,,H,W
2011,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,FR,US,XX,1,,trophies,,P,W
2011,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,PK,,1,1,trophies,,H,W
2011,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,RU,PK,,1,1,trophies,,H,W
2011,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,,1,trophies,,H,W
2011,I,Cephalophus jentinki,Mammalia,Artiodactyla,Bovidae,Cephalophus,DE,LR,,,1,bones,,S,W
2011,I,Cephalophus jentinki,Mammalia,Artiodactyla,Bovidae,Cephalophus,DE,LR,,1,,specimens,,S,W
2011,I,Gazella leptoceros,Mammalia,Artiodactyla,Bovidae,Gazella,US,GB,XX,1,,specimens,,P,W
2011,I,Gazella leptoceros,Mammalia,Artiodactyla,Bovidae,Gazella,US,GB,XX,,1,trophies,,T,U
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,,,1,skins,,H,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,,,1,skulls,,H,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,,2,,trophies,,H,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,,1,horns,,H,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,1,1,skins,,H,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,1,,skins,,P,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,,1,skulls,,H,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,,1,trophies,,H,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,7,4,trophies,,H,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,,4,horns,,H,W
2011,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,,2,skins,,H,W
